Channel Name,Views,Likes,Subscribers
Benjamim Arruda,8246192,31654,29300
bloon room,5856051,199087,93000
Goldicus,5786213,133054,30800
M Arslan Gamerz,4139512,18464,31700
Retr0virus11,3832919,70855,25700
Hopper,3297329,16824,24600
Shafournee,3144619,100284,18800
DroVyl,2734206,12278,40800
Bkt1039,2615071,10241,12300
Lower East Side Records,2547576,20338,29300
BoredomNation,1834614,21528,4030
MackanRules,1736168,58547,86300
NoBrakesGames,1493488,6182,2630
1 Toys,1240654,2058,22700
Team17,1185404,2454,74300
Codyumm 2,1124322,53964,47200
Kixmod,931521,5276,7630
Danny Malkam Drew,889521,34500,2090
Beat That Boss,810376,6980,61200
RebuiltGames,756493,3920,397
Saxu,672969,3843,1970
LimX Dynamics,634905,13743,9710
Pasachy,611987,5255,1520
Sound Lagoon,547682,4692,967
Who's Your Daddy?!,542293,16665,23500
Gummy,532149,1704,38000
Raxzor,528722,19525,23000
officialnintendomag,483654,2407,20100
Scredge,471548,4277,1440
OfflineTV & Friends Fans,456908,9220,48500
The Yellow Carp,456392,4311,3220
sparpweed,444484,1921,294
Loem,442236,3476,3160
RubberBandGames,436574,3729,12600
JJ RETRO,428325,3708,4840
8rgk,404116,4375,2310
teco park,401283,2329,644
Katman Yayın Kesitleri,360706,5997,3070
TheManBeHisLa,356566,15060,43800
No Copyright Gameplay Uddip,348893,8433,25900
Encrypted Duck,340057,1786,24900
TechyCrew,323454,4865,97800
Solidarity VODS,314946,6946,88700
Party Animals,313353,5986,20300
Indoor Window,299646,11218,3210
Nerrev,279519,11781,70100
Tay the titan,269758,5090,802
Detroit YT,264388,1756,83700
JHS,253379,12238,3080
Magnet,247615,1525,31500
Daily Dose Of OTV,235202,3152,17300
Алексей Вартандер,230965,586,644
EEGAR,221462,4643,1740
Derk,220777,3585,34900
Gaggle Studios,210130,4063,6300
CaptainBara,209109,4076,1080
Casual Potatoes,205970,4087,4840
Dan. - Shellshock Live,201881,3055,16900
Two Moons Gaming,188676,1499,7250
ComplexOri,183899,3156,5190
deluxe.mp4,180210,1419,91300
Melvitos,162487,9293,505
BRS,162334,2141,609
ELmoez - المعز,160644,8204,79800
Maze,157980,1529,19000
Reckerless,153976,5160,48700
SpiffyXTG,150299,1309,978
The Co-op Mode,139690,745,79700
Pixile Studios,137825,6622,26500
PixelTail Games,128994,2260,8470
TeshiiLatte,122512,6688,75400
TheMoltenPhantom,117308,1761,1400
V4mpX,111653,760,1410
Stovetop Studios,109472,878,271
Furo,108842,3154,21100
Doctor O'lolo,108345,151,2700
Bopl Bros,104091,1651,2810
Empire Gamer,103521,2096,86200
Raku,102136,1530,322
Other Ocean Interactive,101580,1016,1260
Vicksy,100993,3205,16300
To The Point,94202,2228,36200
Lino Slahuschek,93955,564,252
NOBS,92892,466,227
EpicVG,86353,538,456
catbaux,85413,1318,23000
Simo K,84774,516,2280
tom,84564,561,121
Hunter R.,79960,5000,62200
Worms Pro Hub,78190,569,427
MightyMacca,77291,2067,13000
Gawbe,77120,355,213
hpmv,72595,861,256
Polritz,72564,4313,55500
smots🐟,70765,211,25200
Snipey,68230,4352,746
BluezKaito,67412,7002,75200
RingsOfGeonosis,66174,766,77100
Patric Catani,65564,731,2840
TheBaldMan,65258,731,62800
Handheld Players,63936,223,62500
LizAndErikSeries,62678,343,31100
SwitchWatch,61709,532,96900
꧁☆Davi☆꧂,61401,425,14800
Mastah_Pete,56523,368,389
The LA Gamer,56402,794,4520
CapyRap62,56070,915,1740
J0daa,55357,1269,1170
Biomechatronics and Intelligent Robotics Lab,53146,1818,2430
SwitchStars,52522,637,14500
Tribo Moments,50240,2306,44600
paxen plays games,50009,647,614
HorizontalDuck,49517,447,1020
BYZE EXTRA,46011,2912,58800
Aung Paing Cho,45060,698,39600
Ryan Mehalic,44878,1647,48800
arbuzovich,42801,443,674
Carrot Helper - 100% Walkthroughs | No Commentary,42530,563,82200
WarriorDan- Game Reviews and Let's Plays,42194,518,2150
MrTwisterWasTaken,40970,552,113
C Petti,39788,91,859
Art1Sh0k,38229,526,14400
EFtheDutch,37679,265,318
Chris Portal,37253,1044,25600
Khimer Zherki,36777,487,3650
Blauski,36181,512,33600
Raiin,35999,265,3330
NEEXcsgo,33766,1017,50800
notverlis,33342,674,687
Jenova Jeremy,33194,2110,23100
Flothar Plus,32775,1564,85400
Spicy Chicken God,32652,676,5640
Real Pepega,31813,476,12800
Orayo Gaming,31404,2106,8330
Icy Gaming,30306,619,105
DunderHeads,28491,867,12800
Local Goober,28321,496,194
ALL GAMING AREAS,27968,153,4030
ClassicalPan,27310,92,63
Streamer Moments,27214,404,32400
BroDUDEgamer,27004,71,395
UT Human Centered Robotics Lab,26956,372,1380
EmilySailor,26575,458,851
Scribblenauts Guide,25945,351,1560
Kaine Cummings,24728,-1,546
ArtReinjer,23519,1429,14900
Tepatus,23395,486,64300
CosmicShiny,22733,282,60
LtFlashfire,22195,72,16
HeTe_ STOFZUIGER,22059,216,44
SlicedAero,21797,485,849
Ruki SAR,20618,656,2810
ID@Xbox,20456,621,35200
Cubold Gaming,20255,379,22700
Naturalek,20248,1438,33300
Scruffman,19508,326,1170
SirMilly,19343,665,467
Best Of SSundee,19140,389,87300
Oblong Lobster,18517,651,3310
Прибыл на Нептун,17551,155,472
Double Toasted Bites,17208,678,48500
More Luke,16858,448,95100
Herpes Fairy,15980,227,46
Etoile et Soup,15945,1236,14300
Solninja A,15741,-1,194
lance2134,15717,502,786
DylanConi,15069,335,263
KipCast,15050,24,82
XuHu Gaming,14854,107,139
WeeklyLight,14751,213,3410
Nxcturnal,14655,455,3870
colonel John,14198,217,250
Sossage Party,13507,1127,62700
Curve Games,12724,212,16000
Gematsu,12607,68,70200
Jayster's Project,12253,156,42700
The Buck Man,12228,137,94
ASSASIN_K-I-D,11853,145,3910
Infinite Backlog,11700,222,8500
I Dream of Indie Games,11447,209,38300
Darkbeak,11343,331,1540
MoonManKelvin,11218,125,76
T4jke,11217,68,157
Nintendo World Report TV,10704,96,88100
stripes,10568,236,240
Ninonet,9693,67,53
Nerd Psycho,9214,68,613
xenomancer,9210,37,104
DumbDog Vods,9010,322,9880
NORMOGAMES,8885,42,36
eight-leaf,8696,904,5810
Play Great Games,8695,419,4130
Snedgie,8158,583,43600
Snoley Games,8076,74,1640
Tower Community,7880,169,286
Flook611,7809,113,11100
Juze,7609,92,24
BarisYTB,7552,430,17600
Classic PC Games,7202,186,23500
Elephant Gamingz,7040,94,1500
Marcelame,6957,358,11800
Goldbullet Ch. HOLOSTARS-EN,6874,766,69600
Neil,6405,47,91
Royal Gaming,6020,78,4870
UnderFire,5674,42,78
화난고양이,5672,29,28
Bonus Stage Publishing,5616,64,290
Boggy,5600,81,41500
TrentSG,5363,214,18000
TCON,5330,130,10800
ZawaGaming,5326,26,13
Scav Merchant Hub,5291,252,11900
ORK ART,5271,44,1410
M.O.D. Gamers,5108,13,2800
Zony,4862,13,16
AchievementHuntersAnon,4852,26,2180
Sgrt-Pickle Plays,4758,121,65
Unorthodogg,4704,51,1940
Kara Games,4634,162,44600
Fowl Play,4285,108,276
H1vezZz,4190,371,56200
ZackApple427,4160,18,319
