Video ID,Channel Name,Views,Likes,Subscribers,published_date
Vb1gZyckHX8,Markiplier,6955647,178424,37000000,2020-02-20 17:09:08
xzDyhUdsuCc,DanTDM,10485117,95312,29100000,2019-05-14 17:10:22
UNhGynJEp-M,Ctop,948614,10412,2190000,2023-01-20 18:15:01
xwj8mD5MnMg,Camodo Gaming,1856954,19241,3660000,2020-02-20 12:00:11
zZSbH9bUVaM,Sam Tabor Gaming,427076,7273,1330000,2021-01-13 20:00:26
AsV7_nJHd-A,Sam Tabor Gaming,324497,6203,1330000,2021-01-04 20:00:05
BsjS8bmMFNU,Johny Shows,2015719,5870,402000,2020-04-08 21:23:14
FJ5AG1zv0pY,Gawbe,63662,286,213,2020-10-06 06:35:26
ZZx3S4GlcHQ,Ken_Dallah_Gaming,3,1,77,2024-10-15 17:27:51
A3_Xhge3qlE,PlayStation,147441,3559,15900000,2020-03-19 16:00:07
ATfxLkKqBYQ,Paqpa,655473,10554,391000,2019-05-16 13:33:01
RaWn4YXZpP8,GTLive,142683,10002,3710000,2021-11-25 00:00:13
3a2Ru1d5YCc,Xbox,61834,1624,5520000,2020-04-03 16:00:00
E4vzdt4wTXc,Stovetop Studios,102736,817,271,2019-05-02 00:46:16
dedWvlqgeq4,Sam Tabor Gaming,410739,9171,1330000,2021-02-03 20:00:09
Whyndp_iyZM,EFtheDutch,37679,265,318,2021-09-19 11:00:10
83tvhlrT2lc,Csúb - Az Űrmedve,845268,12140,190000,2021-09-03 12:21:59
AuEAoD8pYRk,jacksepticeye,1894453,75036,30800000,2020-02-03 20:00:00
NtzkdSPMfOc,Gawbe,13458,69,213,2020-10-03 23:49:35
XxBtAU4p6GA,FGTeeV,12639911,92040,23900000,2020-03-07 13:00:06
RtC0eQJoSFM,FGTeeV,12147036,98644,23900000,2020-03-23 22:09:06
CoBanjYraik,игровой канал Чарли Фрая,1953861,15417,244000,2019-05-16 09:00:02
NVq487C9Me4,Stovetop Studios,6736,61,270,2021-02-02 08:00:04
Cws3_y7gXXM,Paqpa,285725,5221,391000,2019-05-25 14:29:11
0sefoTPb20c,HandOfBlood,2140758,104713,2760000,2020-05-02 14:37:28
hccR1OjsoAc,jacksepticeye,1431481,64467,30800000,2019-05-18 16:00:07
F9eKeEV5jgU,Camodo Gaming,485223,5492,3660000,2020-02-05 21:00:02
DDFviIAy0YU,Camodo Gaming,736964,8981,3660000,2020-02-27 21:00:01
oNx9K26ylU4,Fynnpire,889193,8182,1360000,2019-05-20 13:00:07
abJrWHWVX1M,Paqpa,308945,6359,391000,2019-05-19 14:00:09
2MSyz5O1-ow,Mastah_Pete,11075,51,389,2022-09-18 10:35:56
9lhz2ntmb2A,Mastah_Pete,22666,150,389,2022-08-26 14:14:25
S1oZRK1jOnE,xenomancer,9210,37,104,2020-04-18 15:48:36
oUlG00icCVE,MachinePlays,687651,13969,380000,2020-08-08 21:00:21
4oNHRAnXQ80,Mastah_Pete,4925,31,389,2022-08-17 19:20:52
w6_MtKpJC2c,ZackApple427,4160,18,319,2023-05-31 11:27:35
dHyI_6t28io,Camodo Gaming,462023,7125,3660000,2019-05-27 17:00:09
aELWuDkDYuA,Obit,5967552,47041,5630000,2022-08-14 07:00:00
-Lni83C9BLI,GQ Games,322650,12000,1560000,2020-08-08 23:00:01
m60QczK9cuQ,Beautiful OB,548212,6450,1740000,2020-02-27 19:00:08
9ihtoXtbn-8,windy31,114654,10394,11000000,2019-06-12 11:56:37
Qmr95FH-LdE,ACI GameSpot,1244582,15140,4260000,2022-08-11 02:19:52
E2_8J91PPyI,Fynnpire,136002,1596,1360000,2019-05-13 13:00:05
OlFiflqr1Kw,Camodo Gaming,199375,3738,3660000,2020-08-07 12:15:01
TRnuTlTUO9g,Oyuncu Aile,429131,3599,395000,2022-08-30 09:00:27
c0hzMKTRYMI,Zony,4862,13,16,2019-06-04 01:31:24
BMbdhFtupMw,Beautiful OB,128779,2037,1740000,2020-02-20 10:00:02
VAAm7GTxJXM,Mastah_Pete,8975,54,389,2023-01-23 06:28:54
eNZz6n6us0o,Mastah_Pete,8882,82,389,2022-08-21 05:26:47
BaPGZJKwxfo,HorizontalDuck,49517,447,1020,2019-06-23 11:00:00
smlef-jkmuQ,PlayStation,204621,2181,15900000,2020-04-02 13:45:00
uXhfnGv_fEQ,Throneful,61794,203,2300000,2020-03-21 02:00:09
xUko31SmXxA,Nintendo of America,262812,6739,9610000,2020-07-02 14:00:15
Ta9ReKaZOGw,RTGame,1507934,53031,2860000,2020-04-04 17:00:19
YSlrAuFAnhc,I Dream of Indie Games,11447,209,38300,2020-03-28 13:13:58
hV_nResY_nE,notverlis,33342,674,687,2013-03-18 05:09:41
wgR1tNgLV68,PlayStation Europe,11702,173,1430000,2020-04-02 15:30:08
Aj7tJ79EiQU,StrEat,46689,205,2570000,2024-10-17 13:41:29
cs3BOop15nU,chove93,290,25,2150,2024-10-16 16:52:26
wrE8wHZQ1BI,Wanderbots,24305,479,490000,2020-04-05 23:10:46
TjApDcGW9Io,QuarterJade,334924,18292,679000,2021-02-04 21:47:56
UpNid_rWDnI,LimX Dynamics,624614,13225,9710,2024-03-15 11:01:31
9Lypkwll6tM,LimX Dynamics,10291,518,9710,2024-10-16 15:41:02
vSbDWlCPloM,SQUEEZIE GAMING,955855,54760,4930000,2022-08-24 16:00:37
HSnfcBp31qc,ViteC ► Play,587066,12998,3810000,2020-03-31 08:30:59
G9SdoVNn4fs,COLAS,680076,36576,688000,2021-05-11 02:45:00
GTfYP-Y7bpM,Failboat,576305,13342,1250000,2020-03-29 17:03:09
coXBnLnaMYo,Крошка Ева,135618,6042,1040000,2021-11-01 08:00:16
82v8it8OAK4,Biomechatronics and Intelligent Robotics Lab,53146,1818,2430,2020-09-18 15:42:34
_H3-AXp8EhI,XuHu Gaming,14854,107,139,2020-09-24 06:46:37
ih72PhvCSr0,Beefy Smash Doods,25193,1773,395000,2020-04-22 21:07:07
U4jwO9VpTc4,PLAYERINSIDUE,66002,6216,511000,2020-04-17 17:30:05
CRpPFgvbEvE,Alexander Zynx,250,14,6450,2020-10-07 06:15:01
O_t4j9AxNZU,nerdilandia,1429,58,1320,2024-01-02 15:00:23
d7Bg1GBd3Aw,Quitschi,1976,20,6710,2020-03-20 11:42:37
19-Pp7e4jjs,JHS,253379,12238,3080,2024-08-09 07:32:18
zua6mnop2a0,k4sen / かせん,2240802,24850,858000,2020-05-16 09:00:22
g9xt2zdSOo8,UT Human Centered Robotics Lab,26956,372,1380,2019-06-12 02:30:26
02ULapg4hKc,花江夏樹,407779,8031,2100000,2021-03-20 10:00:30
UDgLx-P0c20,Gaenali,71818,2859,628000,2020-09-03 14:21:33
XRT--nWS9NY,Stumpt,110783,1557,540000,2019-07-29 20:00:09
ZGdFY9L4yIU,Kendy,1713036,42388,585000,2020-04-25 09:00:30
qNZOvtoMztI,Gematsu,9494,34,70200,2020-03-10 14:13:55
ACcPSE3oJOc,Admiros Plus,131447,2717,230000,2023-11-30 16:00:06
sddYEcZIiZE,The Frustrated Gamer,43663,1055,3050000,2020-03-28 10:30:12
6vfe0LGOhsY,Sunnymuffin,1344,16,122,2020-07-29 15:08:44
68FMDURyOFg,RTA in Japan,45546,625,475000,2024-08-15 06:42:37
_NwzRQScAbE,أوسمز oCMz,419949,44515,8360000,2020-05-10 18:05:14
Pbv13PnOL9Q,ViteC ► Play,228749,5599,3810000,2020-04-07 10:04:48
47-kDM4uOy4,Gematsu,3113,34,70200,2020-03-27 17:44:01
f8r92M3OKRk,SANNINSHOW,210414,2878,745000,2020-06-18 10:00:13
AkokoL579qs,Biper y sus Amigos,96849038,-1,14100000,2022-06-30 14:00:12
jafk4ZDIk_M,META Publishing,1986,31,576,2020-04-01 10:14:33
ugL8B88wMCI,Wankil Studio - Les VOD,222046,4138,787000,2020-06-13 14:00:17
lQ02L2j8T80,Tivolt,74576,5058,729000,2020-04-29 16:04:23
QPLsO2KLRMc,Noisy Pixel,4042,62,64200,2020-04-07 13:00:10
uPNx6SLw4M4,Kalera,3604,246,62800,2021-06-24 20:30:05
cCrNTG2tpW8,Ziemniaczarnia,312,6,364,2020-12-02 15:15:05
EMOuxmtljIw,Wholesome Games,280,6,42200,2019-10-17 14:08:38
kre5EfvpO54,PlayStation Asia,1291,11,55500,2020-04-07 07:07:38
wIzAF4D35RU,ChilledChaosGAME,207756,6276,416000,2020-10-26 00:56:37
1tCnsVgf68o,Other Ocean Interactive,40932,614,1260,2019-10-31 20:08:06
EgxCgJwFAqw,TheStellarJay,13141,143,311000,2019-11-04 00:39:44
l8iiC06coNE,ChilledChaosGAME,167542,4799,416000,2022-05-27 01:19:47
fmV4xaO7jRs,Squaye,325,11,56,2021-04-17 10:50:19
tCauK276sXM,ArtReinjer,5780,310,14900,2019-11-22 20:19:45
JTEKubgfjbk,Bladii,19383,1157,917000,2022-06-18 16:20:01
p1wqU_0sE9E,GhostyKJ,75,3,2420,2021-03-17 15:31:36
2a2-eNmpqq0,Wanderbots,3635,163,490000,2021-01-12 20:00:00
6s5-2_ln8OU,Wanderbots,4110,167,490000,2021-12-24 16:00:09
lZ3qGX2U_7g,ZeRoyalViking,78537,2757,802000,2020-11-03 12:34:22
s7GQZiVpnYg,ZeRoyalViking,108792,3863,802000,2020-10-19 11:00:28
mR92wntfVlY,ChilledChaosGAME,336693,6366,416000,2021-01-20 02:02:08
